ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,10397,ATL
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
10135,ABE,11057,CLT
